ルートレベル,科目,参考書名,所要時間
日大,英語,中学版システム英単語,94.5
日大,英語,英単語ターゲット1200 改訂版,168
日大,英語,システム英単語basic,168
日大,英語,中学英語をもう一度ひとつひとつわかりやすく。,56
日大,英語,大岩のいちばんはじめの英文法超基礎文法編,31.5
日大,英語,高校基礎英文法パターンドリル,42
日大,英語,高校英文読解をひとつひとつわかりやすく。,56
日大,英語,英文法ポラリス1,70
日大,英語,システム英単語,210
日大,英語,英単語ターゲット1900,210
日大,英語,必携英単語LEAP,210
日大,英語,速読英熟語,147
日大,英語,英熟語ターゲット1000,147
日大,英語,Vintage,196
日大,英語,動画でわかる英文法[読解入門編],56
日大,英語,入門英文問題精講,84
日大,英語,関正生のThe Rules英語長文問題集 1,52.5
日大,英語,関正生のThe Rules英語長文問題集 2,52.5
日大,英語,英語長文ポラリス 1,52.5
日大,英語,英文法ファイナル演習ポラリス1,42
日大,英語,大学入試はじめの英文読解ドリル,42
日大,英語,英語長文ハイパートレーニングレベル1,52.5
MARCH,英語,英文解釈ポラリス1,42
MARCH,英語,関正生のThe Rules英語長文問題集 3,52.5
MARCH,英語,英語長文ポラリス 2,52.5
MARCH,英語,国公立標準問題集CanPass 英語,52.5
MARCH,英語,大学入試英語長文プラス記述式トレーニング問題集,52.5
MARCH,英語,大学入試英語長文プラス速読トレーニング問題集,52.5
早慶,英語,速読英単語上級編,157.5
早慶,英語,出る順で最短合格！英検準1級単熟語Ex,210
早慶,英語,大学入試英単語SPARTA3,105
早慶,英語,英文解釈ポラリス2,42
早慶,英語,関正生のThe Rules英語長文問題集 4,52.5
早慶,英語,英語長文ポラリス3発展レベル,52.5
早慶,英語,『世界一わかりやすい 早稲田の英語 合格講座』『世界一わかりやすい 慶應の英語合格講座』,42
MARCH,英語,『英作文ハイパートレーニング和文英訳編』,63
MARCH,英語,『英作文ハイパートレーニング自由英作文編PLUS』,56
MARCH,英語,『基礎英作文問題精講』,56
MARCH,英語,『改訂第２版 １カ月で攻略！ 大学入学共通テスト英語リーディング』,14
